index,Data,Hora,"PRECIPITAÇÃO TOTAL, HORÁRIO (mm)","PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB)",PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB),PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB),RADIACAO GLOBAL (Kj/m²),"TEMPERATURA DO AR - BULBO SECO, HORARIA (°C)",TEMPERATURA DO PONTO DE ORVALHO (°C),TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C),TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C),TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C),TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C),UMIDADE REL. MAX. NA HORA ANT. (AUT) (%),UMIDADE REL. MIN. NA HORA ANT. (AUT) (%),"UMIDADE RELATIVA DO AR, HORARIA (%)","VENTO, DIREÇÃO HORARIA (gr) (° (gr))","VENTO, RAJADA MAXIMA (m/s)","VENTO, VELOCIDADE HORARIA (m/s)",region,state,station,station_code,latitude,longitude,height
170977,2013-09-26,01:00,0.0,997.9,997.9,997.4,-9999,19.6,10.1,22.0,19.5,10.6,9.1,56,44,54,3,2.2,0.1,CO,MT,PORTO ESTRELA,A935,-15.54638888,-57.38166666,145.0
271745,2013-08-27,01:00,0.0,964.4,964.4,963.4,-9999,14.6,6.5,16.3,14.6,7.2,6.5,58,55,58,222,10.7,3.4,CO,MS,CASSILANDIA,A742,-19.12249999,-51.72083332,516.0
100909,2013-02-24,21:00,0.0,-9999.0,-9999.0,-9999.0,1322,31.1,20.2,31.7,31.1,20.8,19.7,53,50,52,21,6.4,3.2,CO,MS,JARDIM,A758,-21.47833332,-56.13694444,249.0
193153,2017-01-10,20:00,0.0,981.1,981.6,981.1,1799,33.6,20.7,34.2,33.0,21.7,20.5,51,46,47,67,4.1,1.3,CO,MT,APIACAS,A910,-9.56388888,-57.3936111,220.0
144095,2020-09-19,21:00,0.0,956.2,956.2,955.9,-9999,34.0,15.2,36.4,34.0,15.2,14.3,33,27,33,236,4.1,1.7,CO,MT,NOVA UBIRATA,A929,-13.41111111,-54.75222222,466.48
73445,2020-09-04,03:00,-9999.0,-9999.0,-9999.0,-9999.0,-9999,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999,-9999,-9999,-9999,-9999.0,-9999.0,CO,GO,RIO VERDE,A025,-17.785303,-50.964869,780.11
95044,2011-02-15,19:00,0.0,963.9,964.7,963.9,2174,31.1,19.9,31.5,29.9,20.8,18.5,56,49,51,74,6.3,3.2,CO,MT,GAUCHA DO NORTE,A930,-13.18472221,-53.2575,379.0
30523,2020-06-22,19:00,0.0,978.1,978.5,978.1,1904,31.5,13.6,32.0,31.4,14.9,13.3,37,33,34,113,6.2,1.9,CO,MT,SAO JOSE DO XINGU,A942,-10.48416666,-52.37249999,300.0
89135,2015-03-05,23:00,-9999.0,928.3,928.3,927.8,5,21.4,18.9,22.1,21.4,19.9,18.9,90,84,86,139,4.8,2.3,CO,MT,CAMPO VERDE,A912,-15.52749999,-55.13555555,749.0
238322,2014-12-21,05:00,0.0,927.5,928.0,927.5,-9999,21.1,20.1,21.4,21.1,20.4,20.1,94,94,94,341,4.2,1.7,CO,GO,MORRINHOS,A003,-17.71666667,-49.1,771.42
334313,2014-12-05,20:00,0.0,965.0,965.5,965.0,2096,32.3,19.0,32.8,31.8,20.2,17.9,50,42,45,301,5.4,2.5,CO,MT,SINOP,A917,-11.98222221,-55.56583333,371.0
211358,2012-06-04,02:00,0.0,974.4,974.4,974.2,-9999,21.3,18.3,22.1,21.3,18.4,18.1,83,78,83,68,2.5,0.7,CO,MS,AGUA CLARA,A756,-20.44444444,-52.87555554,338.0
21796,2004-06-25,04:00,0.0,970.9,971.0,970.8,-9999,19.7,15.6,21.3,19.7,16.0,15.5,78,71,77,259,0.0,0.0,CO,MT,SORRISO,A904,-12.55,-55.71666666,380.0
42545,2006-10-10,17:00,0.0,977.5,978.6,977.5,3334,31.3,16.6,32.1,30.7,18.1,15.2,46,37,41,30,7.5,3.6,CO,MS,TRES LAGOAS,A704,-20.78999999,-51.71222222,313.0
265236,2015-04-12,12:00,0.0,1000.8,1000.8,1000.3,527,26.2,23.8,26.2,25.5,23.8,23.3,88,85,87,294,2.8,1.2,CO,MS,CORUMBA,A724,-18.99666666,-57.63749999,126.0
97665,2012-07-26,21:00,0.0,946.5,946.5,946.0,811,28.7,15.0,31.0,28.6,17.1,13.7,49,36,43,333,6.5,2.0,CO,MT,COMODORO,A913,-13.70861111,-59.76277777,591.0
42917,2015-03-29,07:00,0.0,967.4,967.7,967.4,-9999,23.2,21.7,23.2,22.9,21.7,21.1,91,89,91,231,2.0,0.0,CO,MS,PARANAIBA,A710,-19.69527777,-51.18138888,424.0
105167,2010-09-27,13:00,0.0,930.5,931.1,930.5,905,22.2,19.6,22.3,20.7,19.9,19.3,93,84,85,301,3.3,0.1,CO,GO,MINEIROS,A026,-17.45472222,-52.60111111,862.0
204000,2013-12-02,08:00,0.0,906.9,906.9,906.4,-9999,21.1,19.2,21.2,20.9,19.5,19.2,91,89,89,121,0.9,0.2,CO,GO,SILVANIA,A037,-16.67694443,-48.61805554,949.0
